Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Normal_Global_Sale,Platform_General,Year_Label,Scaled_Normal_Global_Sale,Normal_Global_Sale_Class
Destiny,PS4,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,T,1.0083339592388831,Sony_Playstation,3,0.3738568156393251,High
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,E10+,0.7877445089123236,Nintendo,1,0.2919019754224118,High
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,M,1.0050703533025898,Sony_Playstation,2,0.37264429934426235,High
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,T,0.9243598409660906,Sony_Playstation,2,0.3426582001333946,High
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,M,0.7971684237637946,Microsoft_Xbox,3,0.29540321011304066,High
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,M,0.8547355973415565,Sony_Playstation,1,0.316790944228704,High
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,T,1.0071575383350857,Sony_Playstation,3,0.3734197440248131,High
Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,M,0.7612278491469581,Microsoft_Xbox,2,0.28205033196920204,High
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,M,0.7482724419041833,Microsoft_Xbox,3,0.2772370540497239,High
Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,M,0.7951163490478976,Microsoft_Xbox,2,0.29464080984772634,High
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,E,0.8773790890701617,Microsoft_Xbox,2,0.32520360287499744,High
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,T,0.9196096399085811,Sony_Playstation,0,0.34089337426302735,High
Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.41,1.08,0.64,5.09,M,1.3836727507945206,Sony_Playstation,2,0.5133051466615631,High
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,E,1.2904905962875457,Nintendo,1,0.4786855011056153,High
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,E,1.0060448737496,Sony_Playstation,2,0.37300635957608486,High
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,M,1.0029495732039369,Sony_Playstation,1,0.37185637320426335,High
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,T,0.8554796820120186,Nintendo,1,0.3170673914485747,High
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,T,0.8557179467989406,Sony_Playstation,1,0.317155913145839,High
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,E,0.6836190035162052,Sony_Playstation,1,0.2532165843277282,High
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,M,0.7836336790723076,Sony_Playstation,2,0.29037469294268,High
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,E,0.6798845310416713,Nintendo,1,0.25182912860628826,High
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,T,0.6802572216951022,Microsoft_Xbox,2,0.2519675930836558,High
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,T,0.8027356508844283,Sony_Playstation,0,0.2974715828681627,High
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,T,0.7985806631465716,Sony_Playstation,3,0.2959278945564362,High
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,E,1.0788926982262763,Nintendo,0,0.4000712613939073,High
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,E,1.265102353616734,Nintendo,3,0.4692530945766796,High
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,E,0.5062853417872021,Sony_Playstation,0,0.1873324185593041,High
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,E,0.6273021107652534,Sony_Playstation,1,0.2322933627498848,High
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,T,0.64834545280725,Microsoft_Xbox,3,0.2401115232835304,High
Spider-Man: The Movie,PS2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48,E,0.6177303761560986,Sony_Playstation,0,0.22873720909280515,High
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,M,0.8279971373598695,Sony_Playstation,3,0.3068568961035492,High
God of War,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,M,0.6442751535677144,Sony_Playstation,1,0.2385992989984735,High
Splatoon,WiiU,2015.0,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,E10+,1.4345048423212874,Nintendo,3,0.5321906188942581,High
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41,T,0.6425101071737929,Sony_Playstation,0,0.23794353737898025,High
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,E,1.4017665857820425,Sony_Playstation,1,0.5200274869780122,High
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,1.56,1.93,0.19,0.68,4.36,M,0.8289073482315759,Sony_Playstation,3,0.3071950636199194,High
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,M,0.8038277517714358,Sony_Playstation,1,0.29787732735668176,High
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision,2.77,1.11,0.0,0.4,4.29,M,0.5979970336213191,Microsoft_Xbox,3,0.22140574817303169,High
FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28,E,0.7842264971092383,Sony_Playstation,3,0.2905949405901646,High
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,T,0.6946711398694991,Sony_Playstation,2,0.2573227465560163,High
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,M,1.3777116862748122,Sony_Playstation,0,0.5110904528513552,High
Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,M,0.771303822086979,Sony_Playstation,2,0.28579382356005956,High
FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,E,0.6962166167964013,Microsoft_Xbox,3,0.25789693228618465,High
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,E,0.7986194949433101,Sony_Playstation,1,0.2959423216003965,High
Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,M,0.6390772522622186,Microsoft_Xbox,2,0.2366681405939145,High
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,E,0.5776478546408312,Sony_Playstation,0,0.21384548765548483,High
Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,M,0.8061578061586758,Sony_Playstation,3,0.2987430044537518,High
God of War II,PS2,2007.0,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,M,0.8428775325286295,Sony_Playstation,1,0.3123853581701389,High
World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,E,1.2497697731747848,Sony_Playstation,1,0.4635566336699014,High
Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,M,0.7392117470280519,Sony_Playstation,3,0.27387076522798626,High
Far Cry 4,PS4,2014.0,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,M,0.7454884206386069,Sony_Playstation,3,0.27620271619882925,High
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,2.67,0.87,0.05,0.38,3.97,M,0.577073526753531,Microsoft_Xbox,2,0.21363210958973358,High
Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,M,0.7171297416359435,Sony_Playstation,3,0.2656667136702161,High
Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,M,0.7124839866836916,Sony_Playstation,3,0.26394069230230804,High
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,E10+,0.7762310230646117,Nintendo,2,0.28762440960232366,High
EA Sports Active,Wii,2009.0,Sports,Electronic Arts,2.09,1.35,0.06,0.4,3.9,E,0.6070246965419582,Nintendo,2,0.22475976474589068,High
Tony Hawk's Underground,PS2,2003.0,Sports,Activision,2.29,1.17,0.01,0.42,3.9,T,0.5716964674971872,Sony_Playstation,0,0.21163438924754063,High
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,E10+,0.6173397362356495,Sony_Playstation,3,0.22859207598596182,High
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85,E,1.3152246084786916,Sony_Playstation,0,0.4878748436333186,High
Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.13,1.12,0.1,0.5,3.84,E10+,0.6362252817495987,Sony_Playstation,2,0.2356085577928372,High
Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,M,0.6389153848336285,Sony_Playstation,3,0.23660800254457995,High
Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8,M,0.7161067699160064,Sony_Playstation,3,0.2652866525035114,High
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision,2.4,1.01,0.0,0.36,3.76,E10+,0.5303529660524786,Microsoft_Xbox,1,0.19627418027157742,High
Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,Electronic Arts,1.37,2.0,0.14,0.22,3.73,E,0.6291700593695931,Sony_Playstation,0,0.2329873552738946,High
Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,M,0.6869378041513223,Sony_Playstation,3,0.2544496069195165,High
FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,E,0.6815832037831889,Sony_Playstation,0,0.2524602306508593,High
Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,Activision,2.13,1.18,0.01,0.35,3.67,T,0.53289562320731,Sony_Playstation,0,0.19721884494408148,High
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65,M,0.5121995658421358,Sony_Playstation,0,0.18952970989264561,High
Pro Evolution Soccer 2008,PS2,2007.0,Sports,Konami Digital Entertainment,0.05,0.0,0.64,2.93,3.63,E,1.4435108035588193,Sony_Playstation,1,0.5355365727153906,High
Resident Evil 4,PS2,2005.0,Action,Capcom,2.08,0.83,0.46,0.25,3.62,M,0.7463629573955841,Sony_Playstation,1,0.2765276298339817,High
FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,0.6,2.45,0.05,0.52,3.62,E,0.6618492313772019,Sony_Playstation,2,0.2451285357172013,High
Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61,T,0.5630315644082843,Sony_Playstation,0,0.20841514758800161,High
Luigi's Mansion,GC,2001.0,Action,Nintendo,2.38,0.67,0.46,0.1,3.6,E,0.70073967633586,Nintendo,0,0.2595773690491357,High
Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,M,0.6753168856952638,Sony_Playstation,3,0.2501321270317425,High
Star Wars: Battlefront II,PS2,2005.0,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59,T,0.5332182542239833,Sony_Playstation,1,0.19733871093668148,High
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54,M,0.6012884594548975,Sony_Playstation,1,0.22262860029890358,High
The Getaway,PS2,2002.0,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54,M,0.6087933254715945,Sony_Playstation,0,0.2254168573725633,High
James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53,T,0.5833820040478078,Sony_Playstation,0,0.21597587647386657,High
FIFA Soccer 11,X360,2010.0,Sports,Electronic Arts,0.71,2.39,0.02,0.4,3.52,E,0.6021771446346756,Microsoft_Xbox,2,0.2229587704489449,High
Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,2.66,0.49,0.05,0.3,3.51,M,0.4885169746047242,Microsoft_Xbox,1,0.1807309981776872,High
Assassin's Creed: Unity,XOne,2014.0,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5,M,0.4892793497542693,Microsoft_Xbox,3,0.18101424079637915,High
Resident Evil 5,X360,2009.0,Action,Capcom,2.11,0.93,0.12,0.34,3.5,M,0.5631436126602869,Microsoft_Xbox,2,0.20845677648990904,High
Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.85,0.38,0.03,0.24,3.49,M,0.4564955110413486,Microsoft_Xbox,2,0.16883417389183336,High
Battlefield 4,PS3,2013.0,Shooter,Electronic Arts,1.3,1.42,0.27,0.5,3.49,M,0.7146402092211858,Sony_Playstation,3,0.2647417862497785,High
Batman: Arkham Asylum,X360,2009.0,Action,Eidos Interactive,2.2,0.95,0.02,0.31,3.48,T,0.4968594767487555,Microsoft_Xbox,2,0.18383045932241185,High
Battlefield 4,X360,2013.0,Shooter,Electronic Arts,2.15,1.01,0.02,0.31,3.48,M,0.5012135538967941,Microsoft_Xbox,3,0.1854481146383454,High
Battlefield: Bad Company 2,X360,2010.0,Shooter,Electronic Arts,2.1,1.01,0.04,0.32,3.47,M,0.5131705141417992,Microsoft_Xbox,2,0.1898904429768434,High
Borderlands,X360,2009.0,Shooter,Take-Two Interactive,2.4,0.71,0.03,0.29,3.44,M,0.47946654465854116,Microsoft_Xbox,2,0.17736852305008816,High
Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,M,0.8273410013021032,Sony_Playstation,3,0.30661312412943537,High
Spider-Man 2,PS2,2004.0,Action,Activision,1.75,1.2,0.02,0.43,3.41,T,0.5310430069178214,Sony_Playstation,0,0.1965305487823044,High
